INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
230451565,07/05/2021,04:21:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,"1,001,079","195,776",40.70402887300003,-73.93930477999999,POINT (-73.93930477999999 40.70402887300003)
233080845,09/02/2021,17:42:00,BRONX,41,0,,false,18-24,M,BLACK,18-24,M,BLACK,"1,014,604","238,800",40.82208252700008,-73.89033032599998,POINT (-73.89033032599998 40.82208252700008)
229827575,06/20/2021,01:21:00,MANHATTAN,34,0,,false,,,,18-24,M,WHITE HISPANIC,"1,002,173","249,401",40.85121316800007,-73.93521605199999,POINT (-73.93521605199999 40.85121316800007)
232291905,08/15/2021,22:55:00,QUEENS,113,0,,false,,,,25-44,M,BLACK,"1,050,524","184,722",40.67345611400003,-73.76108222599998,POINT (-73.76108222599998 40.67345611400003)
234208386,09/28/2021,13:28:00,QUEENS,105,0,PVT HOUSE,false,18-24,M,BLACK,18-24,M,BLACK,"1,055,375","186,365",40.67792811600003,-73.74357702299993,POINT (-73.74357702299993 40.67792811600003)
231403776,07/27/2021,00:44:00,BRONX,42,0,,false,,,,25-44,M,BLACK,"1,015,667","243,850",40.83593960600007,-73.88646598899999,POINT (-73.88646598899999 40.83593960600007)
224702000,02/22/2021,17:20:00,BROOKLYN,81,0,,false,18-24,M,BLACK,25-44,M,BLACK,"1,003,410","191,481",40.69223536100003,-73.93090985099997,POINT (-73.93090985099997 40.69223536100003)
233172871,09/05/2021,03:40:00,BRONX,50,0,,false,,,,18-24,F,BLACK,"1,012,338","256,921",40.87182680700005,-73.89844162999998,POINT (-73.89844162999998 40.87182680700005)
231941625,08/06/2021,23:20:00,MANHATTAN,32,0,,false,25-44,M,BLACK,25-44,M,BLACK,"1,000,061","233,795",40.80838320300006,-73.94288697199994,POINT (-73.94288697199994 40.80838320300006)
229542172,06/14/2021,21:20:00,QUEENS,103,0,,false,25-44,M,BLACK,18-24,M,BLACK,"1,041,409","193,095",40.696501571000056,-73.79387084199995,POINT (-73.79387084199995 40.696501571000056)
